Book,Concordance,Spell,Number of Records,Position,sort-order
3: PoA,"think, plunging a hand down the neck of his robes, he whipped out his wand and roared, expectopatronum! something silver-white, something enormous, erupted from the end of his wand, he knew it had",expectopatronum,1,269059,269059
3: PoA,"to remember — sirius was inno­cent — innocent — we’ll be okay — i’m going to live with him — expectopatronum! he gasped, by the feeble light of his formless patronus, he saw a dementor halt,",expectopatronum,1,304925,304925
3: PoA,"won­derful, soaring sensation of his stomach, the incantation is this — lupin cleared his throat, expectopatronum! expectopatronum, Harry repeated under his breath, expectopatronum, concentrating hard on your happy memory? oh — yeah",expectopatronum,1,261737,261737
3: PoA,"a split second, before snape could take even one step toward him, he had raised his wand, expelliarmus! he yelled — except that his wasn’t the only voice that shouted, there was a blast that",expelliarmus,1,297969,297969
3: PoA,"it looked like a skull, his yellow teeth were bared in a grin, it was sirius black, expelliarmus! he croaked, pointing ron’s wand at them, Harry’s and hermione’s wands shot out of their hands",expelliarmus,1,291209,291209
3: PoA,"the ground, another bang — crookshanks flew into the air and back to the earth in a heap, expelliarmus! Harry yelled, pointing his own wand at petti­grew; lupin’s wand flew high into the air and",expelliarmus,1,304191,304191
3: PoA,"there with his wand covering black, and then to black himself, crumpled and bleeding at Harry’s feet, expelliarmus! lupin shouted, Harry’s wand flew once more out of his hand; so did the two hermione",expelliarmus,1,292661,292661
3: PoA,". he hurried over to ron, bent down, tapped ron’s leg with his wand, and muttered, ferula, bandages spun up ron’s leg, strapping it tightly to a splint, lupin helped him to his",ferula,1,302843,302843
3: PoA,"course, you-know-who wasn’t an easy person to hide from, dumble­dore told them that their best chance was the fidelius charm, how does that work? said madam rosmerta, breathless with interest, professor flitwick cleared his",fidelius,1,251967,251967
3: PoA,"insisted on using black? he did, said fudge heavily, and then, barely a week after the fidelius charm had been performed — black betrayed them? breathed madam rosmerta, he did indeed, black was",fidelius,1,252224,252224
3: PoA,"to her, and as the team watched in amazement, hermione tapped them with her wand and said, impervius! there! she said, handing them back to Harry, they’ll repel water! wood looked as",impervius,1,243775,243775
3: PoA,"he stood up, looking around, it was pitch dark, he held up his wand, muttered, lumos! and saw that he was in a very narrow, low, earthy passageway, he raised the",lumos,1,249025,249025
3: PoA,"only it would move, then he’d know whether it was just a stray cat or — something else, lumos, Harry muttered, and a light appeared at the end of his wand, almost dazzling him,",lumos,1,201723,201723
3: PoA,"ribs, what’s the matter? said ron, Harry pointed, ron pulled out his wand and muttered, lumos! a beam of light fell across the grass, hit the bottom of a tree, and illuminated",lumos,1,267291,267291
3: PoA,"shriek with pain and fall too, Harry groped for his wand, blinking blood out of his eyes — lumos! he whispered, the wandlight showed him the trunk of a thick tree; they had chased scabbers",lumos,1,289991,289991
3: PoA,"the bar, pause, then turn and walk right toward him, somewhere above him, hermione whispered, mobiliarbus! the christmas tree beside their table rose a few inches off the ground, drifted sideways, and",mobiliarbus,1,250945,250945
3: PoA,"him until we’re safely back in the castle, we can take him like this, … he muttered, mobilicorpus, as though invisible strings were tied to snape’s wrists, neck, and knees, he was pulled",mobilicorpus,1,302965,302965
3: PoA,"where a wide shiny stripe had been made by some­thing being dragged upstairs, they reached the dark landing, nox, they whispered together, and the lights at the end of their wands went out, only one",nox,1,290956,290956
3: PoA,", mouthing wordlessly, snape was bearing down upon him, reaching inside his robes, r — r — riddikulus! squeaked neville, there was a noise like a whip crack, snape stumbled; he was wear­ing",riddikulus,1,232211,232211
3: PoA,"eyeball became a severed hand, which flipped over and began to creep along the floor like a crab, riddikulus! yelled dean, there was a snap, and the hand was trapped in a mousetrap, excellent",riddikulus,1,232526,232526
3: PoA,"filled the room, a long, wailing shriek that made the hair on Harry’s head stand on end — riddikulus! shouted seamus, the banshee made a rasping noise and clutched her throat; her voice was gone",riddikulus,1,232424,232424
3: PoA,"like water, he was still on his feet — though for how much longer, he wasn’t sure — riddikulus! roared lupin, springing forward, there was a loud crack, and Harry’s cloudy patronus vanished along",riddikulus,1,262977,262977
3: PoA,"on ron, clicking its pincers menac­ingly, for a moment, Harry thought ron had frozen, then — riddikulus! bellowed ron, and the spider’s legs vanished; it rolled over and over; lavender brown squealed",riddikulus,1,232598,232598
3: PoA,"parvati and it began to walk toward her very slowly, dragging its feet, its stiff arms rising — riddikulus! cried parvati, a bandage unraveled at the mummy’s feet; it became entangled, fell face forward",riddikulus,1,232333,232333
3: PoA,"shape that you find amusing, we will practice the charm without wands first, after me, please … riddikulus! riddikulus! said the class together, good, said professor lupin, very good, but that",riddikulus,1,231372,231372
3: PoA,"the floor as a cockroach, crack! snape was back, this time neville charged forward looking determined, riddikulus! he shouted, and they had a split second’s view of snape in his lacy dress before neville",riddikulus,1,232736,232736
3: PoA,"was, then they saw a silvery-white orb hanging in the air in front of lupin, who said, riddikulus! al­most lazily, crack! forward, neville, and finish him off! said lupin as the",riddikulus,1,232693,232693
3: PoA,"you find amusing, we will practice the charm without wands first, after me, please … riddikulus! riddikulus! said the class together, good, said professor lupin, very good, but that was the",riddikulus,1,231374,231374
3: PoA,"the class over his shoulder, please watch closely, he raised the wand to shoulder height, said, waddiwasi! and pointed it at peeves, with the force of a bullet, the wad of chewing gum",waddiwasi,1,230484,230484
4: GoF,", entirely and absolutely, upon the thing that was his only chance, … he raised his wand, accio firebolt! he shouted, Harry waited, every fiber of him hoping, praying, … if it",accio,1,427515,427515
4: GoF,"! mine! snape had reached out for it, a horrible expression of dawning comprehension on his face — accio parchment! the map flew up into the air, slipped through snape’s out­stretched fingers, and soared down",accio,1,464135,464135
4: GoF,"? nothing! don’t you lie to me! mrs. weasley pointed her wand at george’s pocket and said, accio! several small, brightly colored objects zoomed out of george’s pocket; he made a grab for them",accio,1,340811,340811
4: GoF,"and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining",accio,1,340930,340930
4: GoF,"flamed in the darkness, Harry saw his mouth curl into a smile, saw him raise his wand, accio! Harry yelled, pointing his wand at the triwizard cup, it flew into the air and soared",accio,1,524711,524711
4: GoF,"he could try again, threaten me with a dragon, right … he raised his wand once more, accio dictionary! the heavy book soared out of hermione’s hand, flew across the room, and Harry caught",accio,1,425174,425174
4: GoF,"possible, and it was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including",accio,1,340928,340928
4: GoF,"was only by using her summoning charm that mrs. weasley managed to find them all, accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining of george’s",accio,1,340932,340932
4: GoF,". constant vigilance! he roared, and the whole class jumped again, now … those three curses — avadakedavra, imperius, and cruciatus — are known as the unforgivable curses, the use of any one of",avadakedavra,1,385586,385586
4: GoF,"ah, said moody, another slight smile twisting his lopsided mouth, yes, the last and worst, avadakedavra … the killing curse, he put his hand into the glass jar, and almost as though it",avadakedavra,1,384943,384943
4: GoF,"around the headstone, facing voldemort, voldemort was ready, as Harry shouted, expelliarmus! volde­mort cried, avadakedavra! a jet of green light issued from voldemort’s wand just as a jet of red light blasted from",avadakedavra,1,522627,522627
4: GoF,"frantically across the wooden surface, moody raised his wand, and Harry felt a sudden thrill of foreboding, avadakedavra! moody roared, there was a flash of blinding green light and a rushing sound, as though",avadakedavra,1,385022,385022
4: GoF,"him for this, he knew he was facing the thing against which moody had always warned … the un-blockable avadakedavra curse — and voldemort was right — his mother was not here to die for him this time,",avadakedavra,1,521664,521664
4: GoF,"kill the spare, a swishing noise and a second voice, which screeched the words to the night : avadakedavra! a blast of green light blazed through Harry’s eyelids, and he heard something heavy fall to the",avadakedavra,1,514775,514775
4: GoF,"the third time, she raised it into the air, yes? said moody, looking at her, avadakedavra, hermione whispered, several people looked uneasily around at her, including ron, ah, said moody",avadakedavra,1,384907,384907
4: GoF,"were right, weren’t they? he really knows his stuff, moody, doesn’t he? when he did avadakedavra, the way that spider just died, just snuffed it right — but ron fell suddenly silent at",avadakedavra,1,386230,386230
4: GoF,", who nodded, rather thicker than one usually sees … quite rigid … ten and a quarter inches … avis! the hornbeam wand let off a blast like a gun, and a number of small, twittering",avis,1,413606,413606
4: GoF,". because they hoodwinked a very powerful magical object! said moody, it would have needed an exceptionally strong confundus charm to bamboozle that goblet into forgetting that only three schools compete in the tournament, … i’m guessing",confundus,1,404213,404213
4: GoF,"put your name in that goblet shouldn’t be feeling too happy right now! i was going to suggest a conjunctivitis curse, as a dragon’s eyes are its weakest point — that’s what krum did! hermione whispered —",conjunctivitis,1,443399,443399
